run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_id,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff,crop_data
1,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2007-02-01,2007-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2007_2154.asc
2,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2008-02-01,2008-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2008_2154.asc
3,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2009-02-01,2009-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2009_2154.asc
4,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2010-02-01,2010-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2010_2154.asc
5,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2011-02-01,2011-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2011_2154.asc
6,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2012-02-01,2012-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2012_2154.asc
7,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2013-02-01,2013-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2013_2154.asc
8,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2014-02-01,2014-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2014_2154.asc
9,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2015-02-01,2015-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2015_2154.asc
10,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2016-02-01,2016-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2016_2154.asc
11,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2017-02-01,2017-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2017_2154.asc
12,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2018-02-01,2018-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2018_2154.asc
13,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2019-02-01,2019-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2019_2154.asc
14,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2020-02-01,2020-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2020_2154.asc
15,True,fixed,auto,GM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2021-02-01,2021-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,,historic_runs,4,,,,,,MO_CType2_2021_2154.asc
16,True,fixed,auto,SM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2007-02-01,2007-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,0.72,,historic_runs,4,,,,,,MO_CType2_2007_2154.asc
17,True,fixed,auto,SM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2008-02-01,2008-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,0.72,,historic_runs,4,,,,,,MO_CType2_2008_2154.asc
18,True,fixed,auto,SM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2009-02-01,2009-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,0.72,,historic_runs,4,,,,,,MO_CType2_2009_2154.asc
19,True,fixed,auto,SM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2010-02-01,2010-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,0.72,,historic_runs,4,,,,,,MO_CType2_2010_2154.asc
20,True,fixed,auto,SM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2011-02-01,2011-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,0.72,,historic_runs,4,,,,,,MO_CType2_2011_2154.asc
21,True,fixed,auto,SM_sfix_hauto,sim_fr.json,crop_France.json,site_France.json,False,,,,,,,,2012-02-01,2012-11-01,False,False,True,True,True,False,True,True,False,True,False,False,False,,,0.72,,historic_runs,4,,,,,,MO_CType2_2012_2154.asc
